token_id,token_str,count,base_mean,delta_mean
1245, effect,33,-2.88157229263787,-3.608582617178785
1578, United,82,-1.8190483870030887,-3.6011627095410024
1998, experience,38,-3.952779894645669,-3.587448000858881
1748, city,58,-2.8889348104853054,-3.5854017663875535
3667, claims,29,-4.824258135310535,-3.584040307793124
4028, actions,22,-4.544688419333067,-3.578117663739249
3878, Great,30,-5.378505234668652,-3.550508134812117
3741, majority,31,-2.468794711031801,-3.54763826027122
1992, President,70,-4.2988521043211225,-3.5446168904325788
3452, latest,31,-3.4656362373615623,-3.53941168625334
2050, study,59,-2.7175852269944496,-3.5278206482782206
3399, Americans,39,-3.5038535564373703,-3.517956406642229
1743, official,32,-3.907387720857514,-3.517907460249262
1502, order,44,-2.5780161611566488,-3.506996437610889
1241, level,52,-2.2468658529866774,-3.5021332170133697
922, good,114,-3.8593981668287727,-3.4910208462296346
1271, number,98,-3.128070667697288,-3.485212661546883
2488, @,22,-3.0159699901599777,-3.482590806924484
88,y,79,-1.3885056943037588,-3.476362789968662
4488, signed,23,-4.112379242544589,-3.468466921992924
2081, true,24,-4.817630548068943,-3.4634452561149365
4664, senior,24,-3.8930624226729074,-3.4581224222977958
886, end,86,-3.4657047039471824,-3.456912100897171
2368, third,45,-4.733536607689327,-3.4542010691430836
1104, support,89,-3.5445658382575838,-3.4525473634677653
1957, local,49,-5.231879389635762,-3.4498971947753914
1611, kind,49,-4.49178520160043,-3.448900886606995
2995, events,28,-4.103015997457468,-3.4427853621704605
1767, body,32,-2.9900156427174807,-3.4340822914382443
3352, plans,33,-4.446356181323416,-3.432689796413549
5006, cars,25,-3.657973437309265,-3.4090279805660253
2911, hope,23,-4.538742505985757,-3.406264724938766
1175, war,30,-3.8852788998202112,-3.4036740597570314
1895, access,40,-4.0354877460747955,-3.4013668324798347
2370, evidence,33,-2.866720610234717,-3.400796709222381
4785, worse,26,-3.856372687822351,-3.394249520479487
2408, difficult,22,-4.1739885089072315,-3.3893830952319233
4536, prices,24,-1.6386857125908136,-3.3856318201869726
2822, buy,47,-2.6480166639419314,-3.375207355047794
261,on,63,-2.047431878918562,-3.3644548436404587
5085, residents,29,-3.661503901769375,-3.362181483671583
301,st,43,-1.4762102636565497,-3.356806693478152
1688, major,51,-5.213399727554882,-3.355797160489886
1203,less,29,-1.992635523605337,-3.3546514948890227
3194, written,22,-4.421501929109747,-3.3522385846484797
2866, speed,23,-4.499840100660272,-3.3453187490610974
3362, Paul,21,-4.958017571183431,-3.3445420713812517
1643, bit,41,-4.142029890745151,-3.3176343958915737
649, new,248,-3.706815561734519,-3.3152027126479586
1862, young,35,-4.754718817983355,-3.3144601855959204
2176, specific,25,-5.446715864967555,-3.3088305522687733
3056, oil,40,-3.3031825253623537,-3.3045249867194797
835, way,158,-2.1852283508806414,-3.3017476766743794
87,x,32,-1.3685689704889228,-3.3010442080976645
2491, running,44,-5.306623776189306,-3.2834909846159546
3961, School,24,-1.8174648836332683,-3.2794156078792494
2486, Obama,80,-2.531464065001637,-3.273846478915948
2832, hands,21,-3.0115290765783618,-3.2707790165607413
417,el,41,-1.7599621911550214,-3.270684440202852
2842, ways,32,-2.7610170268908405,-3.2657538351613766
1097, car,35,-3.77415267101356,-3.262458938785962
4842, Chicago,23,-4.163614086482836,-3.262279723001563
1762, working,59,-4.548606304799096,-3.2523996082402897
670, work,141,-3.633836442802815,-3.250704595383177
3274, First,34,-4.762941219350871,-3.249459492371363
1622, season,74,-2.4261734021085823,-3.2472616731503043
968, New,96,-4.085325232733642,-3.2421168033348904
2119, room,25,-4.128883928656578,-3.2379814553260804
3271, David,34,-5.075869758120355,-3.2338406866525897
2910, blood,24,-3.30172346169032,-3.2233132489927807
4635, produced,24,-5.1119028677543,-3.222823704282443
5481, Bur,21,-2.4216134036015275,-3.2143688281233023
826, right,106,-3.814527371546851,-3.210255115697125
845, very,167,-4.672278475250581,-3.2030624050736245
2802, mother,26,-4.2120932054061155,-3.196388979370777
440, O,58,-4.300888549492309,-3.186644927867496
1471, Or,25,-4.8260094356536865,-3.184456624984742
260,re,154,-1.829433880433026,-3.183757570153783
2712, playing,32,-4.714524434879422,-3.182363322004676
995, world,173,-2.518572925879503,-3.1822270516727076
2321, 2012,41,-3.5201683466027425,-3.178908212882716
2089, bad,33,-3.7248105151635227,-3.165021201652108
1624, claim,30,-4.01078308224678,-3.1643611530462907
2415, woman,32,-2.8027900851739105,-3.162355808686698
1450, men,73,-2.44117251519522,-3.155050091228563
79,p,28,-2.719258047259895,-3.1440523387677133
