arm,feature,c,dist1,dist2,dist3
dirfix,4398,2.0,0.15716486902927582,0.4283513097072419,0.6124807395993837
dirfix,4398,2.5,0.08129496402877698,0.25467625899280577,0.4316546762589928
dirfix,4398,3.0,0.04187366926898509,0.1589779985805536,0.29595457771469125
dirfix,6587,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,6587,0.5,0.6151832460732984,0.9232111692844677,0.9275741710296684
dirfix,6587,1.0,0.5341113105924596,0.8877917414721723,0.9254937163375224
dirfix,6587,1.25,0.4501779359430605,0.806049822064057,0.8807829181494662
dirfix,6587,1.5,0.3732394366197183,0.7262323943661971,0.8688380281690141
dirfix,6587,2.0,0.29445350734094616,0.6239804241435563,0.8083197389885808
dirfix,6587,2.5,0.18800888230940044,0.4448556624722428,0.6336047372316802
dirfix,6587,3.0,0.10849393290506781,0.28051391862955033,0.46395431834404
dirfix,6911,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,6911,0.5,0.5964444444444444,0.9191111111111111,0.9271111111111111
dirfix,6911,1.0,0.4159220146222583,0.7944760357432982,0.8903330625507717
dirfix,6911,1.25,0.36253041362530414,0.7656123276561233,0.8815896188158961
dirfix,6911,1.5,0.3061062648691515,0.7065820777160984,0.838223632038065
dirfix,6911,2.0,0.21919879062736206,0.4973544973544973,0.5873015873015873
dirfix,6911,2.5,0.13253012048192772,0.30120481927710846,0.3546686746987952
dirfix,6911,3.0,0.10410557184750734,0.21114369501466276,0.24120234604105573
dirfix,7848,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,7848,0.5,0.6201966041108132,0.9294012511170688,0.934763181411975
dirfix,7848,1.0,0.6457943925233645,0.9439252336448598,0.9429906542056075
dirfix,7848,1.25,0.6089803554724041,0.9457436856875585,0.941066417212348
dirfix,7848,1.5,0.5340073529411765,0.9273897058823529,0.9420955882352942
dirfix,7848,2.0,0.4663507109004739,0.8767772511848341,0.9355450236966825
dirfix,7848,2.5,0.4433094994892748,0.8478038815117467,0.9315628192032687
dirfix,7848,3.0,0.36585365853658536,0.7849223946784922,0.9135254988913526
dirfix,14891,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,14891,0.5,0.6530249110320284,0.9359430604982206,0.9270462633451957
dirfix,14891,1.0,0.5262689225289403,0.8254674977738201,0.8593054318788959
dirfix,14891,1.25,0.437847866419295,0.7217068645640075,0.7912801484230055
dirfix,14891,1.5,0.36065573770491804,0.6248794599807136,0.7174541947926711
dirfix,14891,2.0,0.2824519230769231,0.49399038461538464,0.5552884615384616
dirfix,14891,2.5,0.27230046948356806,0.405320813771518,0.4303599374021909
dirfix,14891,3.0,0.4581497797356828,0.5110132158590308,0.5022026431718062
dirfix,15507,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,15507,0.5,0.634906500445236,0.9430097951914514,0.9456812110418522
dirfix,15507,1.0,0.5777331995987964,0.8956870611835507,0.8966900702106319
dirfix,15507,1.25,0.5101351351351351,0.7905405405405406,0.7736486486486487
dirfix,15507,1.5,0.3463302752293578,0.536697247706422,0.5711009174311926
dirfix,15507,2.0,0.3017241379310345,0.28448275862068967,0.19827586206896552
dirfix,15507,2.5,0.3013698630136986,0.2328767123287671,0.2328767123287671
dirfix,15507,3.0,0.34210526315789475,0.18421052631578946,0.15789473684210525
dirfix,15664,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,15664,0.5,0.6082089552238806,0.9076492537313433,0.9216417910447762
dirfix,15664,1.0,0.5514981273408239,0.8651685393258427,0.9082397003745318
dirfix,15664,1.25,0.5487693710118505,0.8988149498632635,0.935278030993619
dirfix,15664,1.5,0.5316223648029331,0.8762603116406966,0.9275893675527039
dirfix,15664,2.0,0.3546712802768166,0.653114186851211,0.7802768166089965
dirfix,15664,2.5,0.18282111899133174,0.3624901497241923,0.4641449960598897
dirfix,15664,3.0,0.10269865067466268,0.20239880059970014,0.280359820089955
