index,dec_norm,var_along,kappa_tilt,freq,mean_act,n_distinct,content_mass,blocked
101,1.0000944,40.023582,1.4166398,0.00325,1.9166639,160,0.4518801131146793,False
102,1.0000255,11.842134,1.5897912,0.0002982804,4.77829,19,1.0,False
103,1.0000653,8.887052,2.1234732,0.0012533069,2.1548889,96,0.6526872633183577,False
104,1.0000179,11.235235,1.5997081,0.00019708995,5.7296515,6,1.0,False
105,1.0000213,11.369862,1.4544623,0.00031481482,11.284535,6,0.21533788154955116,False
106,1.0000339,12.380015,1.7461878,0.0004021164,3.1023376,29,0.9182460556008255,False
107,1.0000259,36.292522,1.2867261,0.0054636244,1.2188252,175,0.8387012097488274,False
108,1.0000648,31.14576,1.3278422,0.0037129628,1.9267282,1,0.0,False
109,1.0000614,20.382812,2.0406995,0.0003128307,3.1947608,34,0.9201299086272834,False
110,1.0000112,8.602199,1.1522783,0.004665344,1.2912912,3,0.0,False
111,1.0000491,14.880977,1.5392771,0.00015608466,16.27788,1,0.0,False
112,1.0000588,13.307579,1.9131896,0.0003399471,5.0765586,8,1.0,False
113,1.0000322,9.727451,1.9337455,0.0042572753,1.476959,88,0.3299638368843227,False
114,1.0000372,13.762696,1.478714,0.00064880954,4.0663977,26,0.9270004961396587,False
115,1.0000433,15.584763,1.4852852,0.00040013227,12.733758,4,1.0,False
116,1.0000443,14.100107,1.6901445,0.002202381,2.343243,7,0.0,False
117,1.0000376,11.968451,1.8037522,0.00077513227,2.3338773,2,0.0,False
118,1.0001129,39.98915,1.2755715,0.007228836,0.98108363,110,0.3857574134822702,False
119,1.0000306,12.709549,1.7519542,0.0003935185,4.175472,31,0.9687431188709136,False
120,1.0000063,12.994707,2.0565534,0.0002559524,3.936882,21,0.28955171209587477,False
121,1.000049,22.302216,1.5654876,0.0031064814,1.8603438,7,0.0,False
122,1.0000074,19.778978,1.789504,0.00019775132,7.6567926,9,0.9370340426840342,False
123,1.0000367,12.693098,1.6148098,0.00013690477,10.146274,4,0.0,False
124,1.0000468,4.773172,2.0914037,0.004214286,1.334775,71,0.12268679689136931,False
125,1.0000633,9.924396,1.5722038,0.00038690475,8.086503,2,1.0,False
126,1.0000213,13.412656,1.7611669,0.0002063492,5.776104,11,0.9254323033128616,False
127,1.0000604,15.722381,1.81308,0.002598545,1.9025911,2,0.0,False
128,0.99999493,49.34111,1.2692232,0.015142857,1.0104597,150,0.6811035959070227,True
129,1.0001159,20.364483,2.0092454,0.00027248677,8.446641,3,1.0,False
130,1.0000278,29.588406,1.1437138,0.0031448412,1.9194641,1,0.0,False
131,1.0000566,6.978007,1.6055605,0.0025482804,1.8817358,14,0.05238893135248384,False
132,1.0000211,13.22509,1.7260885,0.0010383598,6.0710406,9,0.8699543798487062,False
133,1.0000545,10.135576,1.9574146,0.0054953704,1.5129858,81,0.587639613395558,False
134,1.0000556,18.243683,1.8064737,0.00069708994,5.4656925,1,0.0,False
135,1.0000446,17.514973,1.9519718,0.00012301587,8.611001,3,1.0,False
